"BRIGG HOWES, ELTERWATER - original observer records",,,,,,,,,,,,,,,,,,,,
Grid ref,NY321052,Long,-3.0483653,Lat,54.437657,Elevation,250,ft,,,,,,,,,,,,
Station no,RR7682,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,14.1,9.24,,,,,,,,,
February,,,,,,,,,,18.45,9.77,,,,,,,,,
March,,,,,,,,,,1.88,4.93,,,,,,,,,
April,,,,,,,,,,5.62,4.36,,,,,,,,,
May,,,,,,,,,,2.78,9.66,,,,,,,,,
June,,,,,,,,,,3.54,2.35,,,,,,,,,
July,,,,,,,,,,3.79,1.61,,,,,,,,,
August,,,,,,,,,,3.39,2.61,,,,,,,,,
September,,,,,,,,,3.29,19.99,9.28,,,,,,,,,
October,,,,,,,,,14.03,6.3,19.68,,,,,,,,,
November,,,,,,,,,7.98,19.73,6.93,,,,,,,,,
December,,,,,,,,,22.89,15.54,5.05,,,,,,,,,
Total,,,,,,,,,,115.11,85.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Record notes that Brigg Howes was the house now called Grassings and NGR for that.,,,,,,,,,,,,,,,,,,,,
