HUTTON JOHN,,,,,,,,,,,,,,,,,,,,
Grid ref,NY439269,Long,-2.870605,Lat,54.634091,Elevation,700,ft,,,,,,,,,,,,
Station no,RR7615,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.02,9.4,2.15,5,3.95,6.09,2.7,,,,,,,,
February,,,,,,3.74,3.78,3.59,5.05,5.06,9.65,5.25,,,,,,,,
March,,,,,,4.9,3.38,5.01,5.36,3.33,4.13,2.14,,,,,,,,
April,,,,,,3.28,1.43,1.8,2.27,3.2,3.47,3.25,,,,,,,,
May,,,,,,1.27,6.12,6.16,2.93,1.48,2.2,3.57,,,,,,,,
June,,,,,,1.65,1.25,5.18,2.23,3.2,1.52,4.66,,,,,,,,
July,,,,,,1.34,2.49,2.03,2.59,5.85,4.56,0.44,,,,,,,,
August,,,,,,3.83,5.05,4.17,5.14,2.96,7.58,2.83,,,,,,,,
September,,,,,,4.82,1.75,0.37,4.17,2.92,0.45,3.02,,,,,,,,
October,,,,,,3.59,7.09,7.95,1.87,7.5,3.17,4.67,,,,,,,,
November,,,,,,5.25,4.92,4.37,3.23,2.76,3.52,6.58,,,,,,,,
December,,,,,,3.26,3.85,7.67,3.27,6.57,6.6,8.75,,,,,,,,
Total,,,,,,39.95,50.51,50.45,43.11,48.78,52.94,47.86,,,,,,,,
