KEMPSEY (DRAYCOTT LODGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO853482,Long,-2.2161484,Lat,52.132145,Elevation,70,ft,,,,,,,,,,,,,
Station no,2398,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.05,2.62,,,,,,,,,,,,,,,,,,,
February,0.88,0.24,,,,,,,,,,,,,,,,,,,
March,2.99,1.04,,,,,,,,,,,,,,,,,,,
April,4.42,0.98,,,,,,,,,,,,,,,,,,,
May,1.6,1.46,,,,,,,,,,,,,,,,,,,
June,2.61,0.65,,,,,,,,,,,,,,,,,,,
July,4.43,0.6,,,,,,,,,,,,,,,,,,,
August,0.71,3.36,,,,,,,,,,,,,,,,,,,
September,2.53,1,,,,,,,,,,,,,,,,,,,
October,2.4,,,,,,,,,,,,,,,,,,,,
November,0.72,,,,,,,,,,,,,,,,,,,,
December,2.33,,,,,,,,,,,,,,,,,,,,
Total,28.67,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1920 July,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
