LIVERPOOL ROSELEIGH WOOLTON,,,,,,,,,,
Grid ref,SJ424874,Long,-2.8673633,Lat,53.380294,Elevation,170,ft,,
Station no,RR8167,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.88,4.32,3.48,1.65,4.01,2.76,1.82,0.97
February,,,2.75,2.83,2.36,2.34,0.82,0.86,1.58,1.46
March,,,2.3,1.78,2.65,1.92,2.17,1.45,2.7,2.14
April,,,4.34,1.37,0.97,0.97,1.1,0.99,0.85,2.8
May,,,1.55,1.2,1.63,2.73,5.57,2.65,0.63,2.46
June,,,6.31,3.29,1.77,3.26,1.74,1.39,3.17,0.66
July,,,5.79,4.11,3.5,2,3.2,1.46,7.66,
August,,,4.35,3.36,2.51,1.81,2.41,1.88,3.54,
September,,,3.91,5.52,3.01,5.09,3.69,5.68,1.01,
October,,,3.86,5.41,2.12,7.3,4.95,1.81,2.05,
November,,,6.5,2.82,2.19,2.87,2.85,0.99,5.46,
December,,,6.28,1.97,3.19,2.81,7.43,3.09,1.68,
Total,,,49.82,37.98,29.38,34.75,39.94,25.01,32.15,
,,,,,,,,,,
1887 total not transcribed initially,,,,,,,,,,
