LUGWARDINE HAGLEY PARK GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO562409,Long,-2.640333,Lat,52.064732,Elevation,311,ft,,,,,,,,,,,,
Station no,RR8880,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.41,0.62,0.83,2.45,0.83,3.51,,,,,,,
February,,,,,,,,0.84,0.7,0.46,3.38,1.05,1.55,,,,,,,
March,,,,,,,,0.49,3.94,2.07,0.56,1.94,3.92,,,,,,,
April,,,,,,,,2.43,2.95,2.27,2.09,0.79,0.47,,,,,,,
May,,,,,,,,2.56,1.52,0.9,2.22,2.37,2.63,,,,,,,
June,,,,,,,,2.52,1.52,1.66,3.77,1.82,4.58,,,,,,,
July,,,,,,,,3.34,1.77,2.3,1.69,0.13,3.36,,,,,,,
August,,,,,,,,1.64,2.5,1.38,6.54,1.63,6.62,,,,,,,
September,,,,,,,,0.65,1.61,2.82,0.62,1.48,0.84,,,,,,,
October,,,,,,,,7.34,2,2.85,3.93,1.68,2.78,,,,,,,
November,,,,,,,,2.18,1.2,0.8,3.73,2.4,1.31,,,,,,,
December,,,,,,,,2.57,2.16,3.26,5.54,6.85,2.8,,,,,,,
Total,,,,,,,,27.97,22.49,21.6,36.52,22.97,34.37,,,,,,,
